Category: All categories

Week,Dengue fever: (Singapore)
2017-12-10,15
2017-12-17,8
2017-12-24,8
2017-12-31,11
2018-01-07,12
2018-01-14,9
2018-01-21,14
2018-01-28,9
2018-02-04,9
2018-02-11,6
2018-02-18,9
2018-02-25,9
2018-03-04,6
2018-03-11,5
2018-03-18,11
2018-03-25,8
2018-04-01,11
2018-04-08,8
2018-04-15,6
2018-04-22,9
2018-04-29,18
2018-05-06,29
2018-05-13,13
2018-05-20,20
2018-05-27,13
2018-06-03,13
2018-06-10,18
2018-06-17,11
2018-06-24,11
2018-07-01,8
2018-07-08,11
2018-07-15,11
2018-07-22,13
2018-07-29,11
2018-08-05,12
2018-08-12,11
2018-08-19,11
2018-08-26,9
2018-09-02,9
2018-09-09,8
2018-09-16,12
2018-09-23,11
2018-09-30,9
2018-10-07,9
2018-10-14,10
2018-10-21,10
2018-10-28,10
2018-11-04,12
2018-11-11,9
2018-11-18,10
2018-11-25,17
2018-12-02,17
2018-12-09,12
2018-12-16,14
2018-12-23,15
2018-12-30,15
2019-01-06,19
2019-01-13,23
2019-01-20,23
2019-01-27,17
2019-02-03,21
2019-02-10,26
2019-02-17,21
2019-02-24,17
2019-03-03,19
2019-03-10,16
2019-03-17,17
2019-03-24,12
2019-03-31,13
2019-04-07,18
2019-04-14,17
2019-04-21,18
2019-04-28,18
2019-05-05,22
2019-05-12,21
2019-05-19,19
2019-05-26,36
2019-06-02,27
2019-06-09,28
2019-06-16,44
2019-06-23,45
2019-06-30,39
2019-07-07,42
2019-07-14,50
2019-07-21,44
2019-07-28,56
2019-08-04,55
2019-08-11,50
2019-08-18,45
2019-08-25,32
2019-09-01,35
2019-09-08,33
2019-09-15,33
2019-09-22,23
2019-09-29,20
2019-10-06,22
2019-10-13,25
2019-10-20,23
2019-10-27,21
2019-11-03,29
2019-11-10,33
2019-11-17,34
2019-11-24,29
2019-12-01,23
2019-12-08,22
2019-12-15,21
2019-12-22,27
2019-12-29,23
2020-01-05,27
2020-01-12,35
2020-01-19,26
2020-01-26,25
2020-02-02,22
2020-02-09,47
2020-02-16,50
2020-02-23,32
2020-03-01,33
2020-03-08,30
2020-03-15,27
2020-03-22,36
2020-03-29,23
2020-04-05,21
2020-04-12,18
2020-04-19,28
2020-04-26,22
2020-05-03,24
2020-05-10,35
2020-05-17,30
2020-05-24,34
2020-05-31,50
2020-06-07,65
2020-06-14,76
2020-06-21,84
2020-06-28,75
2020-07-05,69
2020-07-12,79
2020-07-19,100
2020-07-26,78
2020-08-02,83
2020-08-09,69
2020-08-16,57
2020-08-23,57
2020-08-30,48
2020-09-06,39
2020-09-13,36
2020-09-20,35
2020-09-27,29
2020-10-04,25
2020-10-11,29
2020-10-18,27
2020-10-25,22
2020-11-01,18
2020-11-08,19
2020-11-15,17
2020-11-22,14
2020-11-29,14
2020-12-06,13
2020-12-13,12
2020-12-20,10
2020-12-27,6
2021-01-03,11
2021-01-10,11
2021-01-17,10
2021-01-24,10
2021-01-31,10
2021-02-07,10
2021-02-14,13
2021-02-21,10
2021-02-28,13
2021-03-07,10
2021-03-14,10
2021-03-21,13
2021-03-28,12
2021-04-04,8
2021-04-11,8
2021-04-18,10
2021-04-25,13
2021-05-02,9
2021-05-09,8
2021-05-16,7
2021-05-23,14
2021-05-30,12
2021-06-06,10
2021-06-13,11
2021-06-20,7
2021-06-27,9
2021-07-04,10
2021-07-11,11
2021-07-18,13
2021-07-25,6
2021-08-01,12
2021-08-08,8
2021-08-15,10
2021-08-22,4
2021-08-29,10
2021-09-05,11
2021-09-12,12
2021-09-19,11
2021-09-26,10
2021-10-03,11
2021-10-10,9
2021-10-17,11
2021-10-24,10
2021-10-31,9
2021-11-07,9
2021-11-14,7
2021-11-21,9
2021-11-28,9
2021-12-05,7
2021-12-12,6
2021-12-19,5
2021-12-26,4
2022-01-02,5
2022-01-09,9
2022-01-16,9
2022-01-23,10
2022-01-30,4
2022-02-06,10
2022-02-13,10
2022-02-20,9
2022-02-27,12
2022-03-06,13
2022-03-13,14
2022-03-20,17
2022-03-27,20
2022-04-03,20
2022-04-10,28
2022-04-17,38
2022-04-24,48
2022-05-01,39
2022-05-08,46
2022-05-15,69
2022-05-22,53
2022-05-29,54
2022-06-05,63
2022-06-12,60
2022-06-19,60
2022-06-26,59
2022-07-03,60
2022-07-10,51
2022-07-17,49
2022-07-24,47
2022-07-31,43
2022-08-07,35
2022-08-14,37
2022-08-21,31
2022-08-28,35
2022-09-04,28
2022-09-11,30
2022-09-18,28
2022-09-25,24
2022-10-02,20
2022-10-09,28
2022-10-16,26
2022-10-23,23
2022-10-30,19
2022-11-06,17
2022-11-13,17
2022-11-20,18
2022-11-27,13
