Category: All categories

Week,fever: (Singapore)
2017-12-10,41
2017-12-17,40
2017-12-24,43
2017-12-31,38
2018-01-07,44
2018-01-14,46
2018-01-21,47
2018-01-28,45
2018-02-04,43
2018-02-11,43
2018-02-18,43
2018-02-25,40
2018-03-04,37
2018-03-11,40
2018-03-18,39
2018-03-25,42
2018-04-01,39
2018-04-08,34
2018-04-15,36
2018-04-22,36
2018-04-29,36
2018-05-06,42
2018-05-13,35
2018-05-20,38
2018-05-27,34
2018-06-03,34
2018-06-10,37
2018-06-17,39
2018-06-24,38
2018-07-01,38
2018-07-08,38
2018-07-15,39
2018-07-22,41
2018-07-29,40
2018-08-05,37
2018-08-12,38
2018-08-19,33
2018-08-26,29
2018-09-02,31
2018-09-09,31
2018-09-16,32
2018-09-23,35
2018-09-30,30
2018-10-07,36
2018-10-14,31
2018-10-21,35
2018-10-28,33
2018-11-04,39
2018-11-11,42
2018-11-18,43
2018-11-25,41
2018-12-02,40
2018-12-09,36
2018-12-16,45
2018-12-23,47
2018-12-30,44
2019-01-06,42
2019-01-13,39
2019-01-20,39
2019-01-27,38
2019-02-03,39
2019-02-10,37
2019-02-17,40
2019-02-24,39
2019-03-03,39
2019-03-10,37
2019-03-17,38
2019-03-24,35
2019-03-31,36
2019-04-07,40
2019-04-14,31
2019-04-21,34
2019-04-28,41
2019-05-05,47
2019-05-12,37
2019-05-19,37
2019-05-26,49
2019-06-02,44
2019-06-09,46
2019-06-16,51
2019-06-23,52
2019-06-30,56
2019-07-07,51
2019-07-14,54
2019-07-21,49
2019-07-28,50
2019-08-04,44
2019-08-11,46
2019-08-18,51
2019-08-25,39
2019-09-01,37
2019-09-08,39
2019-09-15,38
2019-09-22,34
2019-09-29,38
2019-10-06,38
2019-10-13,41
2019-10-20,38
2019-10-27,39
2019-11-03,46
2019-11-10,46
2019-11-17,43
2019-11-24,38
2019-12-01,41
2019-12-08,49
2019-12-15,52
2019-12-22,53
2019-12-29,53
2020-01-05,52
2020-01-12,50
2020-01-19,59
2020-01-26,79
2020-02-02,77
2020-02-09,100
2020-02-16,68
2020-02-23,55
2020-03-01,52
2020-03-08,55
2020-03-15,69
2020-03-22,67
2020-03-29,60
2020-04-05,51
2020-04-12,45
2020-04-19,44
2020-04-26,36
2020-05-03,35
2020-05-10,31
2020-05-17,33
2020-05-24,36
2020-05-31,36
2020-06-07,35
2020-06-14,41
2020-06-21,39
2020-06-28,37
2020-07-05,36
2020-07-12,41
2020-07-19,37
2020-07-26,38
2020-08-02,40
2020-08-09,33
2020-08-16,33
2020-08-23,34
2020-08-30,27
2020-09-06,28
2020-09-13,28
2020-09-20,32
2020-09-27,30
2020-10-04,30
2020-10-11,25
2020-10-18,27
2020-10-25,27
2020-11-01,22
2020-11-08,24
2020-11-15,25
2020-11-22,28
2020-11-29,25
2020-12-06,24
2020-12-13,24
2020-12-20,21
2020-12-27,24
2021-01-03,29
2021-01-10,24
2021-01-17,26
2021-01-24,25
2021-01-31,23
2021-02-07,27
2021-02-14,34
2021-02-21,30
2021-02-28,27
2021-03-07,28
2021-03-14,28
2021-03-21,31
2021-03-28,32
2021-04-04,28
2021-04-11,32
2021-04-18,37
2021-04-25,34
2021-05-02,40
2021-05-09,42
2021-05-16,38
2021-05-23,38
2021-05-30,34
2021-06-06,32
2021-06-13,36
2021-06-20,32
2021-06-27,34
2021-07-04,41
2021-07-11,44
2021-07-18,51
2021-07-25,44
2021-08-01,50
2021-08-08,35
2021-08-15,30
2021-08-22,24
2021-08-29,26
2021-09-05,30
2021-09-12,33
2021-09-19,31
2021-09-26,28
2021-10-03,32
2021-10-10,31
2021-10-17,30
2021-10-24,32
2021-10-31,27
2021-11-07,35
2021-11-14,30
2021-11-21,26
2021-11-28,25
2021-12-05,26
2021-12-12,27
2021-12-19,28
2021-12-26,35
2022-01-02,37
2022-01-09,40
2022-01-16,45
2022-01-23,46
2022-01-30,46
2022-02-06,52
2022-02-13,58
2022-02-20,60
2022-02-27,57
2022-03-06,48
2022-03-13,45
2022-03-20,36
2022-03-27,33
2022-04-03,35
2022-04-10,33
2022-04-17,32
2022-04-24,36
2022-05-01,36
2022-05-08,41
2022-05-15,50
2022-05-22,45
2022-05-29,49
2022-06-05,44
2022-06-12,52
2022-06-19,55
2022-06-26,70
2022-07-03,59
2022-07-10,66
2022-07-17,62
2022-07-24,64
2022-07-31,53
2022-08-07,49
2022-08-14,44
2022-08-21,44
2022-08-28,44
2022-09-04,47
2022-09-11,48
2022-09-18,47
2022-09-25,47
2022-10-02,52
2022-10-09,65
2022-10-16,62
2022-10-23,45
2022-10-30,41
2022-11-06,44
2022-11-13,42
2022-11-20,40
2022-11-27,36
