Category: All categories,
,
Week,aedes: (Singapore)
3/1/2016,0
10/1/2016,6
17/1/2016,13
24/1/2016,41
31/1/2016,23
7/2/2016,10
14/2/2016,11
21/2/2016,11
28/2/2016,8
6/3/2016,0
13/3/2016,0
20/3/2016,13
27/3/2016,11
3/4/2016,0
10/4/2016,9
17/4/2016,0
24/4/2016,10
1/5/2016,5
8/5/2016,12
15/5/2016,0
22/5/2016,9
29/5/2016,15
5/6/2016,0
12/6/2016,5
19/6/2016,6
26/6/2016,17
3/7/2016,8
10/7/2016,7
17/7/2016,9
24/7/2016,0
31/7/2016,8
7/8/2016,11
14/8/2016,0
21/8/2016,0
28/8/2016,100
4/9/2016,54
11/9/2016,26
18/9/2016,13
25/9/2016,14
2/10/2016,6
9/10/2016,5
16/10/2016,13
23/10/2016,0
30/10/2016,0
6/11/2016,0
13/11/2016,19
20/11/2016,0
27/11/2016,7
4/12/2016,12
11/12/2016,0
18/12/2016,9
25/12/2016,15
1/1/2017,10
8/1/2017,0
15/1/2017,0
22/1/2017,9
29/1/2017,12
5/2/2017,8
12/2/2017,0
19/2/2017,0
26/2/2017,5
5/3/2017,11
12/3/2017,0
19/3/2017,0
26/3/2017,6
2/4/2017,5
9/4/2017,12
16/4/2017,14
23/4/2017,14
30/4/2017,15
7/5/2017,19
14/5/2017,11
21/5/2017,6
28/5/2017,0
4/6/2017,11
11/6/2017,6
18/6/2017,0
25/6/2017,0
2/7/2017,10
9/7/2017,4
16/7/2017,0
23/7/2017,7
30/7/2017,5
6/8/2017,0
13/8/2017,0
20/8/2017,5
27/8/2017,7
3/9/2017,7
10/9/2017,0
17/9/2017,0
24/9/2017,4
1/10/2017,0
8/10/2017,12
15/10/2017,0
22/10/2017,8
29/10/2017,6
5/11/2017,0
12/11/2017,9
19/11/2017,0
26/11/2017,7
3/12/2017,0
10/12/2017,0
17/12/2017,0
24/12/2017,16
31/12/2017,0
7/1/2018,14
14/1/2018,25
21/1/2018,51
28/1/2018,21
4/2/2018,48
11/2/2018,21
18/2/2018,0
25/2/2018,0
4/3/2018,0
11/3/2018,16
18/3/2018,0
25/3/2018,0
1/4/2018,38
8/4/2018,18
15/4/2018,23
22/4/2018,15
29/4/2018,24
6/5/2018,0
13/5/2018,14
20/5/2018,30
27/5/2018,35
3/6/2018,23
10/6/2018,0
17/6/2018,15
24/6/2018,0
1/7/2018,0
8/7/2018,40
15/7/2018,0
22/7/2018,0
29/7/2018,0
5/8/2018,26
12/8/2018,0
19/8/2018,0
26/8/2018,23
2/9/2018,0
9/9/2018,0
16/9/2018,0
23/9/2018,80
30/9/2018,0
7/10/2018,0
14/10/2018,0
21/10/2018,0
28/10/2018,12
4/11/2018,0
11/11/2018,0
18/11/2018,26
25/11/2018,26
2/12/2018,37
9/12/2018,19
16/12/2018,0
23/12/2018,0
30/12/2018,0
6/1/2019,14
13/1/2019,23
20/1/2019,0
27/1/2019,24
3/2/2019,39
10/2/2019,20
17/2/2019,33
24/2/2019,0
3/3/2019,0
10/3/2019,0
17/3/2019,25
24/3/2019,0
31/3/2019,36
7/4/2019,34
14/4/2019,31
21/4/2019,50
28/4/2019,0
5/5/2019,16
12/5/2019,0
19/5/2019,15
26/5/2019,11
2/6/2019,57
9/6/2019,23
16/6/2019,38
23/6/2019,18
30/6/2019,20
7/7/2019,26
14/7/2019,74
21/7/2019,41
28/7/2019,43
4/8/2019,58
11/8/2019,25
18/8/2019,34
25/8/2019,0
1/9/2019,24
8/9/2019,18
15/9/2019,0
22/9/2019,18
29/9/2019,0
6/10/2019,23
13/10/2019,0
20/10/2019,0
27/10/2019,30
3/11/2019,37
10/11/2019,0
17/11/2019,27
24/11/2019,49
1/12/2019,0
8/12/2019,24
15/12/2019,0
22/12/2019,15
29/12/2019,17
5/1/2020,0
12/1/2020,14
19/1/2020,17
26/1/2020,0
2/2/2020,24
9/2/2020,27
16/2/2020,23
23/2/2020,0
1/3/2020,34
8/3/2020,12
15/3/2020,20
22/3/2020,54
29/3/2020,15
5/4/2020,0
12/4/2020,34
19/4/2020,0
26/4/2020,41
3/5/2020,0
10/5/2020,28
17/5/2020,0
24/5/2020,19
31/5/2020,17
7/6/2020,35
14/6/2020,60
21/6/2020,68
28/6/2020,88
5/7/2020,33
12/7/2020,49
19/7/2020,32
26/7/2020,60
2/8/2020,70
9/8/2020,36
16/8/2020,51
23/8/2020,26
30/8/2020,49
6/9/2020,20
13/9/2020,26
20/9/2020,37
27/9/2020,0
4/10/2020,36
11/10/2020,0
18/10/2020,27
25/10/2020,0
1/11/2020,18
8/11/2020,0
15/11/2020,17
22/11/2020,24
29/11/2020,0
6/12/2020,33
13/12/2020,48
20/12/2020,0
27/12/2020,0
3/1/2021,0
10/1/2021,16
17/1/2021,31
24/1/2021,0
31/1/2021,12
7/2/2021,0
14/2/2021,0
21/2/2021,0
28/2/2021,0
7/3/2021,13
14/3/2021,13
21/3/2021,18
