Category: All categories,
,
Week,Dengue: (Singapore)
2016-01-03,78
2016-01-10,74
2016-01-17,68
2016-01-24,94
2016-01-31,85
2016-02-07,85
2016-02-14,85
2016-02-21,68
2016-02-28,65
2016-03-06,60
2016-03-13,57
2016-03-20,42
2016-03-27,59
2016-04-03,57
2016-04-10,50
2016-04-17,38
2016-04-24,33
2016-05-01,35
2016-05-08,37
2016-05-15,34
2016-05-22,42
2016-05-29,46
2016-06-05,42
2016-06-12,32
2016-06-19,36
2016-06-26,47
2016-07-03,38
2016-07-10,48
2016-07-17,40
2016-07-24,49
2016-07-31,48
2016-08-07,32
2016-08-14,39
2016-08-21,33
2016-08-28,85
2016-09-04,63
2016-09-11,56
2016-09-18,42
2016-09-25,29
2016-10-02,35
2016-10-09,41
2016-10-16,32
2016-10-23,26
2016-10-30,26
2016-11-06,19
2016-11-13,21
2016-11-20,26
2016-11-27,21
2016-12-04,11
2016-12-11,14
2016-12-18,13
2016-12-25,17
2017-01-01,27
2017-01-08,19
2017-01-15,21
2017-01-22,19
2017-01-29,19
2017-02-05,23
2017-02-12,13
2017-02-19,17
2017-02-26,23
2017-03-05,19
2017-03-12,19
2017-03-19,21
2017-03-26,18
2017-04-02,29
2017-04-09,20
2017-04-16,21
2017-04-23,21
2017-04-30,24
2017-05-07,22
2017-05-14,18
2017-05-21,27
2017-05-28,31
2017-06-04,20
2017-06-11,23
2017-06-18,19
2017-06-25,25
2017-07-02,23
2017-07-09,24
2017-07-16,20
2017-07-23,24
2017-07-30,18
2017-08-06,19
2017-08-13,28
2017-08-20,19
2017-08-27,12
2017-09-03,12
2017-09-10,19
2017-09-17,18
2017-09-24,17
2017-10-01,20
2017-10-08,20
2017-10-15,28
2017-10-22,21
2017-10-29,25
2017-11-05,21
2017-11-12,20
2017-11-19,20
2017-11-26,26
2017-12-03,28
2017-12-10,32
2017-12-17,13
2017-12-24,7
2017-12-31,8
2018-01-07,11
2018-01-14,10
2018-01-21,15
2018-01-28,7
2018-02-04,8
2018-02-11,8
2018-02-18,11
2018-02-25,8
2018-03-04,8
2018-03-11,13
2018-03-18,9
2018-03-25,8
2018-04-01,11
2018-04-08,7
2018-04-15,6
2018-04-22,8
2018-04-29,15
2018-05-06,30
2018-05-13,13
2018-05-20,19
2018-05-27,11
2018-06-03,12
2018-06-10,13
2018-06-17,12
2018-06-24,10
2018-07-01,10
2018-07-08,10
2018-07-15,10
2018-07-22,12
2018-07-29,11
2018-08-05,10
2018-08-12,10
2018-08-19,9
2018-08-26,9
2018-09-02,9
2018-09-09,10
2018-09-16,11
2018-09-23,12
2018-09-30,8
2018-10-07,8
2018-10-14,9
2018-10-21,10
2018-10-28,8
2018-11-04,11
2018-11-11,9
2018-11-18,11
2018-11-25,17
2018-12-02,16
2018-12-09,13
2018-12-16,16
2018-12-23,13
2018-12-30,14
2019-01-06,20
2019-01-13,18
2019-01-20,22
2019-01-27,17
2019-02-03,19
2019-02-10,28
2019-02-17,19
2019-02-24,18
2019-03-03,17
2019-03-10,13
2019-03-17,15
2019-03-24,12
2019-03-31,13
2019-04-07,17
2019-04-14,17
2019-04-21,16
2019-04-28,17
2019-05-05,20
2019-05-12,19
2019-05-19,20
2019-05-26,35
2019-06-02,26
2019-06-09,25
2019-06-16,43
2019-06-23,46
2019-06-30,37
2019-07-07,42
2019-07-14,47
2019-07-21,42
2019-07-28,55
2019-08-04,51
2019-08-11,48
2019-08-18,45
2019-08-25,37
2019-09-01,34
2019-09-08,31
2019-09-15,33
2019-09-22,23
2019-09-29,23
2019-10-06,20
2019-10-13,25
2019-10-20,26
2019-10-27,21
2019-11-03,28
2019-11-10,30
2019-11-17,34
2019-11-24,32
2019-12-01,22
2019-12-08,21
2019-12-15,24
2019-12-22,24
2019-12-29,22
2020-01-05,26
2020-01-12,36
2020-01-19,26
2020-01-26,25
2020-02-02,21
2020-02-09,48
2020-02-16,48
2020-02-23,32
2020-03-01,34
2020-03-08,32
2020-03-15,27
2020-03-22,33
2020-03-29,23
2020-04-05,19
2020-04-12,17
2020-04-19,28
2020-04-26,21
2020-05-03,23
