Category: All categories,
,
Week,fever: (Singapore)
2016-01-03,75
2016-01-10,77
2016-01-17,88
2016-01-24,91
2016-01-31,96
2016-02-07,100
2016-02-14,94
2016-02-21,87
2016-02-28,77
2016-03-06,81
2016-03-13,72
2016-03-20,71
2016-03-27,71
2016-04-03,64
2016-04-10,72
2016-04-17,69
2016-04-24,62
2016-05-01,58
2016-05-08,70
2016-05-15,58
2016-05-22,62
2016-05-29,71
2016-06-05,74
2016-06-12,71
2016-06-19,64
2016-06-26,64
2016-07-03,61
2016-07-10,68
2016-07-17,76
2016-07-24,83
2016-07-31,77
2016-08-07,65
2016-08-14,56
2016-08-21,57
2016-08-28,79
2016-09-04,71
2016-09-11,66
2016-09-18,73
2016-09-25,57
2016-10-02,57
2016-10-09,65
2016-10-16,57
2016-10-23,54
2016-10-30,55
2016-11-06,55
2016-11-13,62
2016-11-20,53
2016-11-27,60
2016-12-04,57
2016-12-11,45
2016-12-18,55
2016-12-25,56
2017-01-01,69
2017-01-08,56
2017-01-15,67
2017-01-22,54
2017-01-29,67
2017-02-05,64
2017-02-12,71
2017-02-19,68
2017-02-26,60
2017-03-05,67
2017-03-12,69
2017-03-19,69
2017-03-26,64
2017-04-02,67
2017-04-09,66
2017-04-16,67
2017-04-23,70
2017-04-30,78
2017-05-07,77
2017-05-14,82
2017-05-21,87
2017-05-28,87
2017-06-04,78
2017-06-11,71
2017-06-18,67
2017-06-25,72
2017-07-02,63
2017-07-09,74
2017-07-16,73
2017-07-23,59
2017-07-30,53
2017-08-06,58
2017-08-13,58
2017-08-20,59
2017-08-27,67
2017-09-03,68
2017-09-10,65
2017-09-17,58
2017-09-24,58
2017-10-01,64
2017-10-08,68
2017-10-15,66
2017-10-22,52
2017-10-29,59
2017-11-05,59
2017-11-12,73
2017-11-19,74
2017-11-26,69
2017-12-03,61
2017-12-10,69
2017-12-17,65
2017-12-24,44
2017-12-31,37
2018-01-07,42
2018-01-14,45
2018-01-21,47
2018-01-28,44
2018-02-04,43
2018-02-11,43
2018-02-18,43
2018-02-25,42
2018-03-04,37
2018-03-11,38
2018-03-18,40
2018-03-25,43
2018-04-01,38
2018-04-08,34
2018-04-15,35
2018-04-22,36
2018-04-29,36
2018-05-06,41
2018-05-13,35
2018-05-20,38
2018-05-27,34
2018-06-03,34
2018-06-10,37
2018-06-17,37
2018-06-24,37
2018-07-01,38
2018-07-08,39
2018-07-15,39
2018-07-22,37
2018-07-29,41
2018-08-05,38
2018-08-12,38
2018-08-19,32
2018-08-26,29
2018-09-02,30
2018-09-09,31
2018-09-16,32
2018-09-23,34
2018-09-30,30
2018-10-07,39
2018-10-14,31
2018-10-21,36
2018-10-28,32
2018-11-04,39
2018-11-11,41
2018-11-18,44
2018-11-25,39
2018-12-02,39
2018-12-09,35
2018-12-16,44
2018-12-23,46
2018-12-30,44
2019-01-06,43
2019-01-13,41
2019-01-20,38
2019-01-27,40
2019-02-03,37
2019-02-10,39
2019-02-17,39
2019-02-24,41
2019-03-03,39
2019-03-10,37
2019-03-17,38
2019-03-24,33
2019-03-31,35
2019-04-07,42
2019-04-14,29
2019-04-21,33
2019-04-28,41
2019-05-05,46
2019-05-12,38
2019-05-19,40
2019-05-26,48
2019-06-02,44
2019-06-09,43
2019-06-16,49
2019-06-23,52
2019-06-30,57
2019-07-07,50
2019-07-14,53
2019-07-21,51
2019-07-28,51
2019-08-04,45
2019-08-11,47
