Category: All categories,
,
Week,Nosebleed: (Singapore)
3/1/2016,0
10/1/2016,0
17/1/2016,48
24/1/2016,30
31/1/2016,31
7/2/2016,0
14/2/2016,19
21/2/2016,0
28/2/2016,32
6/3/2016,90
13/3/2016,56
20/3/2016,52
27/3/2016,27
3/4/2016,33
10/4/2016,40
17/4/2016,52
24/4/2016,31
1/5/2016,42
8/5/2016,28
15/5/2016,20
22/5/2016,0
29/5/2016,31
5/6/2016,30
12/6/2016,0
19/6/2016,31
26/6/2016,0
3/7/2016,0
10/7/2016,69
17/7/2016,34
24/7/2016,0
31/7/2016,43
7/8/2016,33
14/8/2016,58
21/8/2016,0
28/8/2016,0
4/9/2016,0
11/9/2016,0
18/9/2016,24
25/9/2016,0
2/10/2016,23
9/10/2016,0
16/10/2016,73
23/10/2016,0
30/10/2016,38
6/11/2016,23
13/11/2016,0
20/11/2016,0
27/11/2016,0
4/12/2016,21
11/12/2016,35
18/12/2016,55
25/12/2016,41
1/1/2017,0
8/1/2017,27
15/1/2017,0
22/1/2017,25
29/1/2017,29
5/2/2017,0
12/2/2017,21
19/2/2017,0
26/2/2017,48
5/3/2017,84
12/3/2017,49
19/3/2017,32
26/3/2017,29
2/4/2017,0
9/4/2017,47
16/4/2017,26
23/4/2017,0
30/4/2017,31
7/5/2017,43
14/5/2017,66
21/5/2017,59
28/5/2017,0
4/6/2017,0
11/6/2017,39
18/6/2017,65
25/6/2017,51
2/7/2017,0
9/7/2017,32
16/7/2017,27
23/7/2017,0
30/7/2017,44
6/8/2017,0
13/8/2017,44
20/8/2017,0
27/8/2017,40
3/9/2017,29
10/9/2017,0
17/9/2017,0
24/9/2017,0
1/10/2017,0
8/10/2017,0
15/10/2017,100
22/10/2017,37
29/10/2017,49
5/11/2017,0
12/11/2017,31
19/11/2017,35
26/11/2017,0
3/12/2017,67
10/12/2017,0
17/12/2017,51
24/12/2017,35
31/12/2017,50
7/1/2018,18
14/1/2018,41
21/1/2018,76
28/1/2018,41
4/2/2018,88
11/2/2018,52
18/2/2018,44
25/2/2018,67
4/3/2018,55
11/3/2018,52
18/3/2018,100
25/3/2018,33
1/4/2018,56
8/4/2018,69
15/4/2018,35
22/4/2018,72
29/4/2018,67
6/5/2018,61
13/5/2018,54
20/5/2018,64
27/5/2018,19
3/6/2018,43
10/6/2018,60
17/6/2018,52
24/6/2018,54
1/7/2018,48
8/7/2018,47
15/7/2018,65
22/7/2018,69
29/7/2018,34
5/8/2018,41
12/8/2018,43
19/8/2018,52
26/8/2018,58
2/9/2018,52
9/9/2018,35
16/9/2018,44
23/9/2018,33
30/9/2018,74
7/10/2018,44
14/10/2018,61
21/10/2018,68
28/10/2018,41
4/11/2018,56
11/11/2018,59
18/11/2018,18
25/11/2018,45
2/12/2018,31
9/12/2018,49
16/12/2018,39
23/12/2018,67
30/12/2018,82
6/1/2019,81
13/1/2019,62
20/1/2019,34
27/1/2019,66
3/2/2019,71
10/2/2019,79
17/2/2019,44
24/2/2019,56
3/3/2019,71
10/3/2019,46
17/3/2019,43
24/3/2019,47
31/3/2019,64
7/4/2019,49
14/4/2019,61
21/4/2019,57
28/4/2019,30
5/5/2019,50
12/5/2019,61
19/5/2019,57
26/5/2019,76
2/6/2019,60
9/6/2019,42
16/6/2019,41
23/6/2019,48
30/6/2019,76
7/7/2019,44
14/7/2019,64
21/7/2019,75
28/7/2019,70
4/8/2019,43
11/8/2019,91
18/8/2019,69
25/8/2019,37
1/9/2019,77
8/9/2019,69
15/9/2019,65
22/9/2019,57
29/9/2019,57
6/10/2019,50
13/10/2019,57
20/10/2019,43
27/10/2019,75
3/11/2019,79
10/11/2019,65
17/11/2019,59
24/11/2019,64
1/12/2019,73
8/12/2019,29
15/12/2019,60
22/12/2019,68
29/12/2019,66
5/1/2020,66
12/1/2020,81
19/1/2020,61
26/1/2020,59
2/2/2020,52
9/2/2020,30
16/2/2020,53
23/2/2020,52
1/3/2020,66
8/3/2020,55
15/3/2020,54
22/3/2020,44
29/3/2020,68
5/4/2020,30
12/4/2020,57
19/4/2020,40
26/4/2020,32
3/5/2020,34
10/5/2020,55
17/5/2020,62
24/5/2020,39
31/5/2020,53
7/6/2020,57
14/6/2020,36
21/6/2020,36
28/6/2020,64
5/7/2020,38
12/7/2020,43
19/7/2020,57
26/7/2020,25
2/8/2020,39
9/8/2020,63
16/8/2020,68
23/8/2020,39
30/8/2020,19
6/9/2020,61
13/9/2020,46
20/9/2020,55
27/9/2020,42
4/10/2020,59
11/10/2020,45
18/10/2020,39
25/10/2020,47
1/11/2020,36
8/11/2020,28
15/11/2020,47
22/11/2020,32
29/11/2020,63
6/12/2020,64
13/12/2020,54
20/12/2020,50
27/12/2020,33
3/1/2021,39
10/1/2021,63
17/1/2021,53
24/1/2021,29
31/1/2021,57
7/2/2021,58
14/2/2021,61
21/2/2021,35
28/2/2021,48
7/3/2021,54
14/3/2021,43
21/3/2021,45
28/3/2021,35
4/4/2021,64
11/4/2021,54
18/4/2021,87
25/4/2021,55
2/5/2021,40
9/5/2021,46
16/5/2021,40
23/5/2021,63
30/5/2021,63
6/6/2021,60
13/6/2021,57
20/6/2021,48
27/6/2021,53
4/7/2021,28
11/7/2021,31
18/7/2021,86
25/7/2021,78
1/8/2021,54
8/8/2021,41
15/8/2021,34
22/8/2021,55
29/8/2021,40
5/9/2021,40
12/9/2021,48
19/9/2021,26
26/9/2021,39
3/10/2021,73
10/10/2021,86
17/10/2021,71
24/10/2021,77
31/10/2021,28
7/11/2021,28
14/11/2021,46
21/11/2021,35
28/11/2021,42
5/12/2021,26
12/12/2021,54
19/12/2021,33
26/12/2021,22
2/1/2022,28
9/1/2022,59
16/1/2022,39
23/1/2022,46
30/1/2022,66
6/2/2022,48
13/2/2022,45
20/2/2022,45
27/2/2022,41
6/3/2022,60
13/3/2022,40
20/3/2022,47
27/3/2022,43
3/4/2022,66
10/4/2022,33
17/4/2022,34
24/4/2022,43
1/5/2022,50
8/5/2022,66
15/5/2022,56
22/5/2022,36
29/5/2022,97
5/6/2022,43
12/6/2022,37
19/6/2022,25
26/6/2022,48
3/7/2022,71
10/7/2022,66
17/7/2022,42
24/7/2022,64
31/7/2022,36
7/8/2022,64
14/8/2022,59
21/8/2022,50
28/8/2022,61
4/9/2022,45
11/9/2022,75
18/9/2022,35
25/9/2022,55
2/10/2022,39
9/10/2022,77
16/10/2022,67
23/10/2022,62
30/10/2022,39
6/11/2022,20
13/11/2022,0
20/11/2022,55
27/11/2022,50
4/12/2022,51
11/12/2022,35
