Category: All categories,
,
Week,vomit: (Singapore)
3/1/2016,42
10/1/2016,40
17/1/2016,70
24/1/2016,58
31/1/2016,56
7/2/2016,60
14/2/2016,49
21/2/2016,42
28/2/2016,54
6/3/2016,62
13/3/2016,48
20/3/2016,57
27/3/2016,36
3/4/2016,40
10/4/2016,38
17/4/2016,48
24/4/2016,90
1/5/2016,62
8/5/2016,71
15/5/2016,31
22/5/2016,51
29/5/2016,83
5/6/2016,34
12/6/2016,26
19/6/2016,50
26/6/2016,60
3/7/2016,58
10/7/2016,95
17/7/2016,62
24/7/2016,61
31/7/2016,70
7/8/2016,48
14/8/2016,63
21/8/2016,54
28/8/2016,50
4/9/2016,76
11/9/2016,60
18/9/2016,74
25/9/2016,62
2/10/2016,63
9/10/2016,40
16/10/2016,68
23/10/2016,43
30/10/2016,64
6/11/2016,77
13/11/2016,47
20/11/2016,80
27/11/2016,42
4/12/2016,58
11/12/2016,64
18/12/2016,65
25/12/2016,65
1/1/2017,100
8/1/2017,49
15/1/2017,59
22/1/2017,68
29/1/2017,60
5/2/2017,61
12/2/2017,56
19/2/2017,86
26/2/2017,66
5/3/2017,78
12/3/2017,54
19/3/2017,67
26/3/2017,63
2/4/2017,52
9/4/2017,52
16/4/2017,70
23/4/2017,58
30/4/2017,70
7/5/2017,53
14/5/2017,51
21/5/2017,77
28/5/2017,51
4/6/2017,56
11/6/2017,63
18/6/2017,95
25/6/2017,54
2/7/2017,70
9/7/2017,42
16/7/2017,44
23/7/2017,60
30/7/2017,80
6/8/2017,67
13/8/2017,54
20/8/2017,68
27/8/2017,45
3/9/2017,70
10/9/2017,68
17/9/2017,54
24/9/2017,61
1/10/2017,63
8/10/2017,47
15/10/2017,60
22/10/2017,44
29/10/2017,57
5/11/2017,48
12/11/2017,39
19/11/2017,44
26/11/2017,69
3/12/2017,51
10/12/2017,74
17/12/2017,58
24/12/2017,83
31/12/2017,48
7/1/2018,65
14/1/2018,63
21/1/2018,44
28/1/2018,50
4/2/2018,49
11/2/2018,65
18/2/2018,53
25/2/2018,62
4/3/2018,71
11/3/2018,64
18/3/2018,39
25/3/2018,46
1/4/2018,67
8/4/2018,59
15/4/2018,45
22/4/2018,39
29/4/2018,63
6/5/2018,34
13/5/2018,46
20/5/2018,46
27/5/2018,64
3/6/2018,40
10/6/2018,62
17/6/2018,50
24/6/2018,54
1/7/2018,54
8/7/2018,47
15/7/2018,60
22/7/2018,57
29/7/2018,45
5/8/2018,42
12/8/2018,45
19/8/2018,60
26/8/2018,44
2/9/2018,50
9/9/2018,47
16/9/2018,61
23/9/2018,58
30/9/2018,39
7/10/2018,43
14/10/2018,41
21/10/2018,45
28/10/2018,51
4/11/2018,67
11/11/2018,56
18/11/2018,40
25/11/2018,46
2/12/2018,63
9/12/2018,76
16/12/2018,63
23/12/2018,72
30/12/2018,61
6/1/2019,51
13/1/2019,63
20/1/2019,58
27/1/2019,51
3/2/2019,58
10/2/2019,58
17/2/2019,38
24/2/2019,44
3/3/2019,52
10/3/2019,56
17/3/2019,36
24/3/2019,52
31/3/2019,63
7/4/2019,47
14/4/2019,51
21/4/2019,52
28/4/2019,52
5/5/2019,64
12/5/2019,50
19/5/2019,60
26/5/2019,48
2/6/2019,45
9/6/2019,65
16/6/2019,54
23/6/2019,51
30/6/2019,67
7/7/2019,49
14/7/2019,46
21/7/2019,42
28/7/2019,72
4/8/2019,42
11/8/2019,68
18/8/2019,51
25/8/2019,58
1/9/2019,66
8/9/2019,78
15/9/2019,58
22/9/2019,54
29/9/2019,23
6/10/2019,48
13/10/2019,68
20/10/2019,67
27/10/2019,74
3/11/2019,63
10/11/2019,49
17/11/2019,41
24/11/2019,57
1/12/2019,52
8/12/2019,59
15/12/2019,54
22/12/2019,68
29/12/2019,63
5/1/2020,63
12/1/2020,47
19/1/2020,59
26/1/2020,75
2/2/2020,61
9/2/2020,72
16/2/2020,63
23/2/2020,31
1/3/2020,52
8/3/2020,52
15/3/2020,44
