region,date,recent_cases
Admiralty,2013-05-23,-1
Admiralty,2013-05-27,-1
Admiralty,2013-06-11,-1
Admiralty,2013-06-24,-3
Admiralty,2013-07-08,-5
Admiralty,2013-07-18,-2
Admiralty,2013-09-06,-3
Admiralty,2013-09-13,-6
Admiralty,2013-10-30,-4
Admiralty,2013-11-04,-5
Admiralty,2013-11-11,-1
Admiralty,2013-11-18,-3
Admiralty,2013-11-25,5
Admiralty,2013-12-02,6
Admiralty,2013-12-16,8
Admiralty,2013-12-24,5
Admiralty,2013-12-31,3
Admiralty,2014-01-06,3
Admiralty,2014-01-10,8
Admiralty,2014-01-17,22
Admiralty,2014-02-04,17
Admiralty,2014-02-14,7
Admiralty,2014-03-04,2
Admiralty,2014-03-14,4
Admiralty,2014-04-04,1
Admiralty,2014-04-14,3
Admiralty,2014-06-03,2
Admiralty,2014-07-14,3
Admiralty,2014-07-21,3
Admiralty,2014-07-25,5
Admiralty,2014-07-29,3
Admiralty,2014-08-01,2
Admiralty,2014-08-05,4
Admiralty,2014-08-08,5
Admiralty,2014-08-12,5
Admiralty,2014-08-15,6
Admiralty,2014-09-22,5
Admiralty,2014-09-26,6
Admiralty,2014-09-29,2
Admiralty,2014-10-03,2
Admiralty,2014-10-07,2
Admiralty,2014-10-10,1
Admiralty,2014-10-13,1
Admiralty,2014-10-17,3
Admiralty,2015-01-02,1
Admiralty,2015-01-07,8
Admiralty,2015-01-09,4
Admiralty,2015-01-12,3
Admiralty,2015-02-16,1
Admiralty,2015-03-06,1
Admiralty,2015-03-16,1
Admiralty,2015-03-20,2
Admiralty,2015-03-23,3
Admiralty,2015-03-27,2
Admiralty,2015-03-30,1
Admiralty,2015-04-02,4
Admiralty,2015-04-06,2
Admiralty,2015-04-10,2
Admiralty,2015-04-13,4
Admiralty,2015-07-03,3
Admiralty,2015-07-16,10
Admiralty,2015-08-06,4
Admiralty,2015-08-11,5
Admiralty,2015-08-14,5
Admiralty,2015-08-17,3
Admiralty,2015-08-21,2
Admiralty,2015-08-25,2
Admiralty,2015-08-28,6
Admiralty,2015-08-31,7
Admiralty,2015-09-04,3
Admiralty,2015-09-07,1
Admiralty,2015-09-10,4
Admiralty,2015-09-14,4
Admiralty,2015-09-22,2
Admiralty,2015-09-25,2
Admiralty,2015-09-28,1
Admiralty,2015-10-02,8
Admiralty,2015-10-05,4
Admiralty,2015-10-09,3
Admiralty,2015-10-12,3
Admiralty,2015-10-19,5
Admiralty,2015-10-26,1
Admiralty,2015-11-09,5
Admiralty,2015-11-16,2
Admiralty,2015-11-23,3
Admiralty,2015-11-30,3
Admiralty,2015-12-07,2
Admiralty,2015-12-14,2
Admiralty,2015-12-21,10
Admiralty,2015-12-28,14
Admiralty,2016-01-04,14
Admiralty,2016-01-11,16
Admiralty,2016-01-18,12
Admiralty,2016-01-26,32
Admiralty,2016-02-01,28
Admiralty,2016-02-10,7
Admiralty,2016-02-15,18
Admiralty,2016-02-23,31
Admiralty,2016-03-01,27
Admiralty,2016-03-07,18
Admiralty,2016-03-14,5
Admiralty,2016-03-22,11
Admiralty,2016-03-29,4
Admiralty,2016-04-04,2
Admiralty,2016-04-11,6
Admiralty,2016-04-18,1
Admiralty,2016-05-03,3
Admiralty,2016-05-09,1
Admiralty,2016-05-24,2
Admiralty,2016-05-30,1
Admiralty,2016-06-06,2
Admiralty,2016-06-13,13
Admiralty,2016-06-20,8
Admiralty,2016-06-30,8
Admiralty,2016-07-04,8
Admiralty,2016-07-12,6
Admiralty,2016-07-18,4
Admiralty,2016-07-26,2
Admiralty,2016-08-01,4
Admiralty,2016-08-23,2
Admiralty,2016-09-05,1
Admiralty,2016-09-13,3
Admiralty,2016-09-26,2
Admiralty,2016-10-03,1
Admiralty,2016-10-24,3
Admiralty,2016-11-07,1
Admiralty,2016-11-28,2
Admiralty,2016-12-12,2
