,Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year,region
0,1 Oct,17.0,8.0,10.4,13.2,-,-,-,-,-,2022,Marine Parade
1,2 Oct,32.2,10.6,12.6,17.4,-,-,-,-,-,2022,Marine Parade
2,3 Oct,10.4,4.8,5.8,7.4,-,-,-,-,-,2022,Marine Parade
3,4 Oct,9.8,5.2,8.8,9.8,-,-,-,-,-,2022,Marine Parade
4,5 Oct,49.4,36.2,42.8,46.6,-,-,-,-,-,2022,Marine Parade
5,6 Oct,2.6,1.4,2.2,2.6,-,-,-,-,-,2022,Marine Parade
6,7 Oct,26.8,21.0,22.6,23.0,-,-,-,-,-,2022,Marine Parade
7,8 Oct,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
8,9 Oct,0.8,0.6,0.8,0.8,-,-,-,-,-,2022,Marine Parade
9,10 Oct,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
10,11 Oct,3.2,1.8,2.8,3.2,-,-,-,-,-,2022,Marine Parade
11,12 Oct,5.8,3.4,3.4,5.6,-,-,-,-,-,2022,Marine Parade
12,13 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
13,14 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
14,15 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
15,16 Oct,36.6,9.6,11.6,19.8,-,-,-,-,-,2022,Marine Parade
16,17 Oct,12.6,7.8,9.6,11.8,-,-,-,-,-,2022,Marine Parade
17,18 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
18,19 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
19,20 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
20,21 Oct,6.8,2.4,4.0,5.8,-,-,-,-,-,2022,Marine Parade
21,22 Oct,3.4,1.0,1.6,1.8,-,-,-,-,-,2022,Marine Parade
22,23 Oct,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
23,24 Oct,0.8,0.4,0.6,0.8,-,-,-,-,-,2022,Marine Parade
24,25 Oct,13.0,5.2,7.8,9.2,-,-,-,-,-,2022,Marine Parade
25,26 Oct,0.8,0.4,0.8,0.8,-,-,-,-,-,2022,Marine Parade
26,27 Oct,0.8,0.4,0.6,0.8,-,-,-,-,-,2022,Marine Parade
27,28 Oct,1.6,0.8,1.0,1.0,-,-,-,-,-,2022,Marine Parade
28,29 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
29,30 Oct,43.8,17.4,26.6,33.2,-,-,-,-,-,2022,Marine Parade
30,31 Oct,10.6,10.4,18.6,26.2,-,-,-,-,-,2022,Marine Parade
0,1 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
1,2 Sep,2.4,1.4,2.2,2.4,-,-,-,-,-,2022,Marine Parade
2,3 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
3,4 Sep,1.4,0.6,1.0,1.2,-,-,-,-,-,2022,Marine Parade
4,5 Sep,0.4,0.4,0.4,0.4,-,-,-,-,-,2022,Marine Parade
5,6 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
6,7 Sep,6.8,2.4,2.4,4.6,-,-,-,-,-,2022,Marine Parade
7,8 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
8,9 Sep,1.4,0.6,0.8,1.0,-,-,-,-,-,2022,Marine Parade
9,10 Sep,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
10,11 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
11,12 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
12,13 Sep,6.0,5.8,6.0,6.0,-,-,-,-,-,2022,Marine Parade
13,14 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
14,15 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
15,16 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
16,17 Sep,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
17,18 Sep,40.4,12.2,16.0,23.6,-,-,-,-,-,2022,Marine Parade
18,19 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
19,20 Sep,13.4,13.0,13.2,13.2,-,-,-,-,-,2022,Marine Parade
20,21 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
21,22 Sep,2.2,0.8,1.4,1.8,-,-,-,-,-,2022,Marine Parade
22,23 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
23,24 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
24,25 Sep,28.4,12.4,18.2,27.0,-,-,-,-,-,2022,Marine Parade
25,26 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
26,27 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
27,28 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
28,29 Sep,24.4,22.0,24.2,24.4,-,-,-,-,-,2022,Marine Parade
29,30 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
0,1 Aug,1.0,0.8,1.0,1.0,-,-,-,-,-,2022,Marine Parade
1,2 Aug,7.2,1.6,2.4,4.2,-,-,-,-,-,2022,Marine Parade
2,3 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
3,4 Aug,1.0,0.4,0.6,0.8,-,-,-,-,-,2022,Marine Parade
4,5 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
5,6 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
6,7 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
7,8 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
8,9 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
9,10 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
10,11 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
11,12 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
12,13 Aug,5.2,3.4,5.0,5.2,-,-,-,-,-,2022,Marine Parade
13,14 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
14,15 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
15,16 Aug,1.6,1.6,1.6,1.6,-,-,-,-,-,2022,Marine Parade
16,17 Aug,0.6,0.6,0.6,0.6,-,-,-,-,-,2022,Marine Parade
17,18 Aug,4.4,4.4,4.4,4.4,-,-,-,-,-,2022,Marine Parade
18,19 Aug,0.4,0.2,0.4,0.4,-,-,-,-,-,2022,Marine Parade
19,20 Aug,7.0,5.4,5.8,5.8,-,-,-,-,-,2022,Marine Parade
20,21 Aug,30.6,18.4,18.6,18.6,-,-,-,-,-,2022,Marine Parade
21,22 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
22,23 Aug,19.0,9.0,16.0,16.6,-,-,-,-,-,2022,Marine Parade
23,24 Aug,5.6,3.0,5.0,5.4,-,-,-,-,-,2022,Marine Parade
24,25 Aug,1.8,0.6,0.6,0.8,-,-,-,-,-,2022,Marine Parade
