,date,aedes,dengue,fever,headache,nosebleed,vomit
0,2016-01-03,0,78,75,81,0,42
1,2016-01-10,6,74,77,76,0,40
2,2016-01-17,13,68,88,79,48,70
3,2016-01-24,41,94,91,68,30,58
4,2016-01-31,23,85,96,52,31,56
5,2016-02-07,10,85,100,96,0,60
6,2016-02-14,11,85,94,81,19,49
7,2016-02-21,11,68,87,72,0,42
8,2016-02-28,8,65,77,70,32,54
9,2016-03-06,0,60,81,76,90,62
10,2016-03-13,0,57,72,63,56,48
11,2016-03-20,13,42,71,52,52,57
12,2016-03-27,11,59,71,73,27,36
13,2016-04-03,0,57,64,78,33,40
14,2016-04-10,9,50,72,90,40,38
15,2016-04-17,0,38,69,68,52,48
16,2016-04-24,10,33,62,79,31,90
17,2016-05-01,5,35,58,61,42,62
18,2016-05-08,12,37,70,88,28,71
19,2016-05-15,0,34,58,70,20,31
20,2016-05-22,9,42,62,77,0,51
21,2016-05-29,15,46,71,74,31,83
22,2016-06-05,0,42,74,76,30,34
23,2016-06-12,5,32,71,61,0,26
24,2016-06-19,6,36,64,78,31,50
25,2016-06-26,17,47,64,87,0,60
26,2016-07-03,8,38,61,83,0,58
27,2016-07-10,7,48,68,67,69,95
28,2016-07-17,9,40,76,67,34,62
29,2016-07-24,0,49,83,63,0,61
30,2016-07-31,8,48,77,62,43,70
31,2016-08-07,11,32,65,63,33,48
32,2016-08-14,0,39,56,71,58,63
33,2016-08-21,0,33,57,64,0,54
34,2016-08-28,100,85,79,62,0,50
35,2016-09-04,54,63,71,65,0,76
36,2016-09-11,26,56,66,81,0,60
37,2016-09-18,13,42,73,97,24,74
38,2016-09-25,14,29,57,86,0,62
39,2016-10-02,6,35,57,75,23,63
40,2016-10-09,5,41,65,79,0,40
41,2016-10-16,13,32,57,67,73,68
42,2016-10-23,0,26,54,58,0,43
43,2016-10-30,0,26,55,76,38,64
44,2016-11-06,0,19,55,100,23,77
45,2016-11-13,19,21,62,67,0,47
46,2016-11-20,0,26,53,52,0,80
47,2016-11-27,7,21,60,54,0,42
48,2016-12-04,12,11,57,66,21,58
49,2016-12-11,0,14,45,69,35,64
